lat,lon,osmid,ref,highway,elevation,elevation_res
47.6597571,-122.3096608,29972814,NA,stop,66.04,4.77
47.6578257,-122.3045295,29972834,NA,NA,51.88,4.77
47.6573624,-122.3046,29972837,NA,stop,50.87,4.77
47.655002,-122.3046285,29972846,NA,stop,41.05,4.77
47.6553419,-122.3118638,29973142,NA,NA,33.25,4.77
47.6612374,-122.2994305,29973169,NA,NA,7.46,4.77
47.6612182,-122.2992283,29973170,NA,NA,7.54,4.77
47.6610722,-122.2983074,29973173,NA,traffic_signals,8.95,4.77
47.6719032,-122.3158206,29977556,NA,traffic_signals,54.92,4.77
47.6782153,-122.3210351,29977892,NA,NA,61.77,4.77
47.6606498,-122.2996269,29977895,NA,NA,10.52,4.77
47.6593986,-122.3009897,29977897,NA,traffic_signals,12.75,4.77
47.6541271,-122.3027198,29978100,NA,NA,15.85,4.77
47.5980607,-122.320329,29978275,NA,NA,45.36,4.77
47.6030707,-122.3259786,29978279,NA,motorway_junction,67.14,4.77
47.6084779,-122.3306893,29978282,NA,NA,57.79,4.77
47.6191444,-122.3282188,29978286,167,motorway_junction,51.29,4.77
47.6322503,-122.3241107,29978294,168A,motorway_junction,36.55,76.35
47.5528871,-122.3173901,29978610,NA,NA,28.29,4.77
47.5871322,-122.3201442,29978621,164A,motorway_junction,25.36,4.77
47.6337721,-122.3240554,29979589,NA,NA,25.73,76.35
47.6150711,-122.3296923,29979598,NA,NA,43.96,4.77
47.5893748,-122.3204218,30003606,NA,motorway_junction,33.45,4.77
47.5938343,-122.320059,30003612,NA,motorway_junction,28.21,4.77
47.5958772,-122.319877,30003647,NA,NA,26.6,4.77
47.5958365,-122.3224618,30003684,NA,traffic_signals,20.77,4.77
47.5955468,-122.3186508,30003689,NA,NA,28.95,4.77
47.5949201,-122.3140865,30003744,2C,motorway_junction,32.97,4.77
47.5978316,-122.320203,30003759,NA,NA,44.43,4.77
47.5930349,-122.3230766,30003764,2B,motorway_junction,8.6,4.77
47.594654,-122.3173226,30003767,NA,NA,47.57,4.77
47.5957282,-122.3197379,30003774,NA,NA,26.81,4.77
47.590288,-122.3291419,30003781,NA,NA,6.14,4.77
47.5902893,-122.328646,30003782,NA,NA,6.21,4.77
47.5923171,-122.32587,30003792,2A,motorway_junction,6.13,4.77
47.59029,-122.3341972,30003796,NA,traffic_signals,5.45,9.54
47.5897829,-122.3206958,30003827,164B,motorway_junction,26.18,4.77
47.5922781,-122.3267931,30003843,NA,motorway_junction,6.04,4.77
47.5943958,-122.3184204,30003858,2B,motorway_junction,37.76,4.77
47.5912037,-122.3216971,30003869,NA,NA,19.13,4.77
47.658742,-122.3024424,30012787,NA,NA,30.82,4.77
47.6604973,-122.300912,30012797,NA,traffic_signals,11.11,4.77
47.6605031,-122.3003541,30012799,NA,NA,9.99,4.77
47.6603301,-122.2999419,30012801,NA,traffic_signals,10.72,4.77
47.6825888,-122.3179939,30078789,NA,NA,86.75,4.77
47.630139,-122.3268644,30078988,167,motorway_junction,27.69,76.35
47.6260651,-122.3293509,30079039,NA,NA,26.88,76.35
47.6232618,-122.3286673,30079048,166,motorway_junction,47.89,4.77
47.6196851,-122.3291255,30079057,NA,traffic_signals,44.79,4.77
47.6576411,-122.316695,30079171,NA,NA,36.74,4.77
47.6529902,-122.312473,30079365,NA,traffic_signals,21.51,4.77
47.6509342,-122.3304203,30101211,NA,NA,8.54,4.77
47.6537816,-122.3257108,30101222,NA,NA,9.02,4.77
47.65397,-122.3235625,30101226,NA,NA,8.56,4.77
47.6555174,-122.3225434,30101230,NA,stop,13.58,4.77
47.5900471,-122.3291056,30102659,NA,NA,6.12,4.77
47.6734418,-122.3200777,30139593,NA,NA,52.64,4.77
47.6797105,-122.3256997,30139598,NA,stop,53.67,4.77
47.5923736,-122.308696,30170587,NA,NA,26.47,4.77
47.6083209,-122.3310267,30230266,164,motorway_junction,54.18,4.77
47.6028428,-122.3262955,30230273,NA,NA,63.5,4.77
47.586728,-122.3204299,30230300,NA,NA,16.74,4.77
47.5502305,-122.3145242,30230488,NA,NA,21,4.77
47.5800558,-122.3193062,30230502,163B,motorway_junction,11.81,4.77
47.5772954,-122.3196765,30230506,163A,motorway_junction,19.55,4.77
47.5587675,-122.3216681,30230524,162,motorway_junction,36,4.77
47.5519061,-122.3172241,30230533,161,motorway_junction,24.25,4.77
47.5655852,-122.3207111,30230750,163,motorway_junction,24.99,4.77
47.5685367,-122.3200141,30230766,NA,motorway_junction,14.45,4.77
47.5701998,-122.3198697,30230772,NA,motorway_junction,14.74,4.77
47.5726209,-122.3185042,30230959,NA,NA,36.1,4.77
47.5732061,-122.3169317,30230962,NA,NA,45.28,4.77
47.5715882,-122.3146197,30230970,NA,traffic_signals,64.86,4.77
47.5729812,-122.3154854,30231110,NA,NA,53.83,4.77
47.5731171,-122.3188525,30231118,NA,motorway_junction,33.45,4.77
47.5722728,-122.3203997,30231124,NA,motorway_junction,21.73,4.77
47.5716515,-122.3263128,30231125,NA,NA,6,4.77
47.5757784,-122.3195374,30231139,NA,NA,32.32,4.77
47.5767436,-122.3194889,30231140,NA,NA,28.06,4.77
47.575178,-122.3201567,30231231,NA,motorway_junction,24.77,4.77
47.5716872,-122.3247719,30231348,NA,NA,6.16,4.77
47.5647682,-122.3213732,30231379,NA,NA,16.05,4.77
47.5714853,-122.3263282,30231551,NA,motorway_junction,6.23,4.77
47.568248,-122.3206268,30231566,NA,NA,13.36,4.77
47.5712792,-122.3217965,30231648,NA,NA,6.39,4.77
47.5715458,-122.3259657,30231661,NA,NA,6.15,4.77
47.5715201,-122.3381711,30232595,NA,motorway_junction,5.17,4.77
47.5714849,-122.34452,30232632,NA,NA,4.8,4.77
47.5713918,-122.3412938,30232636,NA,motorway_junction,9.19,4.77
47.571229,-122.3449092,30232674,NA,NA,15.37,4.77
47.5709592,-122.3526668,30232675,NA,motorway_junction,3.45,4.77
47.5717868,-122.3419077,30232698,NA,NA,6.19,4.77
47.5714049,-122.3395209,30232709,NA,NA,11.22,4.77
47.5711469,-122.3393087,30232847,NA,NA,4.92,4.77
47.571536,-122.3438462,30232853,NA,NA,4.69,4.77
47.6723942,-122.3190877,30277917,NA,NA,52.29,4.77
47.6723144,-122.3188056,30277919,NA,NA,52.53,4.77
47.6090021,-122.330885,30279413,NA,NA,65.88,4.77
47.6049844,-122.3279289,30279458,165,motorway_junction,66.56,4.77
47.6084406,-122.331992,30279697,NA,traffic_signals,59.79,4.77
47.6032308,-122.3263633,30279744,NA,NA,65.65,4.77
47.6038377,-122.3271504,30279836,NA,NA,68.6,4.77
47.5977126,-122.3212966,30280121,NA,motorway_junction,40.43,4.77
47.5980982,-122.321471,30280133,NA,motorway_junction,41.85,4.77
47.5962707,-122.3214774,30280134,NA,NA,26.36,4.77
47.5958351,-122.3216368,30280137,NA,NA,22.64,4.77
47.595284,-122.3208899,30280144,NA,motorway_junction,30.6,4.77
47.5894141,-122.321065,30280151,NA,NA,17.53,4.77
47.5961192,-122.3209379,30280155,NA,motorway_junction,33.98,4.77
47.5900885,-122.3224247,30280161,NA,NA,7.23,4.77
47.5916189,-122.3224727,30280218,NA,NA,7.21,4.77
47.6245672,-122.3541097,30343850,NA,traffic_signals,42.29,4.77
47.6232711,-122.3554309,30343852,NA,NA,42.87,76.35
47.62069,-122.347594,30343857,NA,traffic_signals,35.54,4.77
47.6185639,-122.3437825,30345009,NA,traffic_signals,36.22,4.77
47.6185631,-122.3435864,30345012,NA,traffic_signals,35.82,4.77
47.617525,-122.3297178,30345078,NA,traffic_signals,43.52,4.77
47.6166538,-122.3278808,30345319,NA,traffic_signals,61.01,4.77
47.6131341,-122.3300821,30345366,166,motorway_junction,47.89,4.77
47.6164476,-122.328335,30345371,NA,NA,58.35,4.77
47.6171726,-122.3281757,30345375,NA,NA,56.58,4.77
47.6163674,-122.3285893,30345392,NA,NA,52.22,4.77
47.6125332,-122.3311604,30345462,NA,traffic_signals,52.44,4.77
47.6127912,-122.3309661,30345463,NA,NA,51.21,4.77
47.6200797,-122.3288241,30345489,NA,NA,45.1,4.77
47.6236175,-122.3286383,30345492,NA,NA,46.11,4.77
47.6758677,-122.3218694,30426015,NA,traffic_signals,53.45,4.77
47.5174286,-122.3714003,30429147,NA,traffic_signals,89.3,4.77
47.6306368,-122.325968,30458570,NA,motorway_junction,32.61,76.35
47.6311863,-122.3253395,30458572,NA,NA,34.23,76.35
47.7340694,-122.325723,30757867,NA,traffic_signals,102.8,4.77
47.6906007,-122.3552927,30758569,NA,traffic_signals,80.13,4.77
47.6906081,-122.3566568,30758573,NA,traffic_signals,80.17,4.77
47.6867887,-122.3251127,30759113,NA,traffic_signals,97.24,4.77
47.680164,-122.3228654,30759441,NA,stop,60.05,4.77
47.6741342,-122.3455809,30759482,NA,NA,53.88,4.77
47.6811263,-122.3445102,30759496,NA,NA,53.58,4.77
47.6814441,-122.3444046,30759497,NA,NA,54.08,4.77
47.6814337,-122.3440938,30759544,NA,NA,53.63,4.77
47.6816452,-122.3274988,30759570,NA,NA,54.08,4.77
47.6827348,-122.3445676,30759900,NA,traffic_signals,58.71,4.77
47.6777761,-122.3457756,30759910,NA,NA,54.65,4.77
47.6209092,-122.3437828,30760194,NA,traffic_signals,28.68,4.77
47.6424469,-122.3469227,30760211,NA,NA,66.86,4.77
47.713331,-122.3276836,30789982,173,motorway_junction,100.58,4.77
47.7054162,-122.3299493,30789990,NA,NA,84.41,4.77
47.7025773,-122.3301143,30789993,NA,NA,80.6,4.77
47.7290704,-122.3243962,30790011,NA,NA,97.66,4.77
47.7194661,-122.3244703,30790032,NA,NA,119.29,4.77
47.7228403,-122.3254366,30790035,NA,NA,121.5,4.77
47.7023533,-122.3298957,30790039,NA,NA,80.77,4.77
47.7051338,-122.3295611,30790042,NA,NA,83.93,4.77
47.6980769,-122.3296567,30790054,NA,NA,88.74,4.77
47.7030162,-122.3290159,30790065,NA,NA,77.42,4.77
47.6905576,-122.3311232,30790083,NA,NA,92.59,4.77
47.6882671,-122.3269616,30790084,NA,NA,95.73,4.77
47.6894862,-122.3282147,30790087,NA,NA,95.02,4.77
47.6904973,-122.3311416,30790093,NA,NA,92.53,4.77
47.6879671,-122.3284351,30790100,NA,NA,86.74,4.77
47.6871198,-122.3275711,30790101,NA,NA,84.79,4.77
47.6868198,-122.3269802,30790104,NA,NA,86.54,4.77
47.5449123,-122.3311648,30885464,NA,traffic_signals,4.51,4.77
47.5476891,-122.3199945,30886193,NA,NA,6.5,4.77
47.5486265,-122.3163526,30886197,NA,motorway_junction,6.34,4.77
47.5521058,-122.3197215,30886353,NA,traffic_signals,5.67,4.77
47.5492844,-122.320895,30887106,NA,NA,5.38,4.77
47.5520263,-122.3198586,30887637,NA,NA,5.69,4.77
47.5485462,-122.3117352,30887812,162,motorway_junction,18.19,4.77
47.5928512,-122.3092473,30888075,NA,motorway_junction,27.42,4.77
47.5926012,-122.3120244,30888134,3,motorway_junction,39.26,4.77
47.589669,-122.3067888,30888195,NA,NA,23.12,4.77
47.588734,-122.3060653,30888236,NA,NA,22.31,4.77
47.5662252,-122.3392953,30888404,NA,NA,5.52,4.77
47.6716705,-122.315989,31095610,NA,traffic_signals,55.62,4.77
47.6468483,-122.3381147,31096023,NA,NA,9.86,76.35
47.6612083,-122.292818,31192107,NA,traffic_signals,11.77,4.77
47.6693107,-122.3039868,31192256,NA,NA,36.01,4.77
47.6695339,-122.3042437,31192282,NA,NA,38.03,4.77
47.6704927,-122.308468,31192317,NA,NA,66.65,4.77
47.6705024,-122.3107405,31192348,NA,NA,71.85,4.77
47.6709138,-122.3119002,31192349,NA,NA,68.26,4.77
47.6711819,-122.311901,31192351,NA,NA,66.55,4.77
47.672594,-122.3187463,31192358,NA,NA,52.33,4.77
47.670982,-122.3130329,31192361,NA,NA,62.15,4.77
47.6719899,-122.3120831,31192362,NA,stop,62.71,4.77
47.5958836,-122.318572,31249243,NA,NA,29.34,4.77
47.6562207,-122.3144017,31251510,NA,traffic_signals,32.1,4.77
47.6561924,-122.3120538,31251602,NA,traffic_signals,37.61,4.77
47.6562044,-122.3132773,31251886,NA,traffic_signals,35.54,4.77
47.6534396,-122.3133739,31251893,NA,traffic_signals,20.68,4.77
47.6535999,-122.3151843,31251896,NA,NA,14.24,4.77
47.6535902,-122.3145066,31251897,NA,traffic_signals,15.76,4.77
47.5372707,-122.334977,31253092,NA,motorway_junction,8.32,4.77
47.5317042,-122.334771,31253094,NA,NA,6.27,4.77
47.5342594,-122.3354455,31253180,NA,NA,5.53,4.77
47.5347754,-122.3369743,31253185,NA,NA,4.67,4.77
47.539022,-122.3370863,31327264,NA,NA,6.01,4.77
47.5333363,-122.3315043,31327480,NA,motorway_junction,4.93,4.77
47.534215,-122.3332444,31327519,NA,NA,4.56,4.77
47.5374583,-122.3347062,31327525,NA,NA,10.72,4.77
47.5455164,-122.3333135,31327652,NA,NA,4.57,4.77
47.5427821,-122.3346324,31327662,NA,NA,1.95,4.77
47.6815735,-122.3197862,31393807,NA,motorway_junction,79.58,4.77
47.6815644,-122.3184433,31393811,NA,NA,84.67,4.77
47.679513300000004,-122.3200683,31393830,NA,NA,68.12,4.77
47.6816698,-122.319828,31393838,NA,NA,79.81,4.77
47.681916,-122.3191526,31393839,NA,NA,83.59,4.77
